Client,E-DMS,PB-E,MQL,ME,Response Count,Bounce count,WON,Date,Inboxes,Prospects Count,Week,Month,Year,MQL Diff,ME Diff,WON Diff,Client Name,Sequencer,Negative,Out of Office Accumulated,Human Replies,Human Replies Accumulated,Out of Office,Schedule volume for Today,Schedule volume for Tomorrow,Schedule volume for Day after tomorrow,Invitations sent,Schedule volume for Today (Aimfox),Schedule volume for Tomorrow (Aimfox),Schedule volume for Day after tomorrow (Aimfox)
50705,0,0,0,0,0,0,0,2025-05-09,36,1285,19,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-09,160,931,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-05-10,464,1843,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-10,36,1285,19,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-10,160,931,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-05-11,464,1843,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-11,36,1285,20,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-11,160,931,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,523,0,0,0,8,0,0,2025-05-12,464,1843,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-12,36,1285,20,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-12,160,931,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,532,0,0,0,4,0,0,2025-05-13,464,1843,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,296,0,0,0,6,0,0,2025-05-13,36,1285,20,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,722,0,4,0,23,3,0,2025-05-13,160,931,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,440,0,0,0,5,0,0,2025-05-14,464,1843,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,666,0,2,1,20,3,0,2025-05-14,36,1285,20,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,152,0,1,0,4,1,0,2025-05-14,160,931,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,259,0,0,0,3,0,0,2025-05-15,464,1843,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,563,0,2,1,20,7,0,2025-05-15,36,1285,20,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,4,0,2,0,0,2025-05-15,160,931,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,7,0,0,0,0,0,0,2025-05-16,464,1843,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,271,0,0,0,2,0,0,2025-05-16,36,1285,20,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,653,0,1,0,10,0,0,2025-05-16,160,931,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-05-17,464,1843,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,2,0,0,0,0,2025-05-17,36,1285,20,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,4,0,2,0,0,2025-05-17,160,931,20,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-05-18,464,1843,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-18,36,1285,21,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-18,160,931,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,2,0,0,2025-05-19,464,1843,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,698,0,3,0,12,0,0,2025-05-19,36,1285,21,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,173,0,1,0,4,0,0,2025-05-19,160,931,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-05-20,464,1843,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,397,0,4,0,9,0,0,2025-05-20,36,1285,21,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,554,0,0,0,4,0,0,2025-05-20,160,931,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,560,0,5,0,16,1,0,2025-05-21,464,4179,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,133,0,0,0,4,0,0,2025-05-21,166,1285,21,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,84,0,0,0,0,0,0,2025-05-21,160,931,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,720,0,4,0,14,3,0,2025-05-22,464,4179,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,2,0,0,0,0,0,0,2025-05-22,166,1285,21,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-22,160,931,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,721,0,2,0,10,0,0,2025-05-23,464,4179,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,577,0,2,0,8,2,0,2025-05-23,166,2327,21,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,169,0,2,0,2,0,0,2025-05-23,160,931,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-05-24,464,4179,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-24,166,2327,21,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-24,160,931,21,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,2,0,0,2025-05-25,464,4878,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,1,0,0,2025-05-25,166,2327,22,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,1,0,1,0,0,2025-05-25,160,931,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,1362,0,1,0,18,7,0,2025-05-26,464,4878,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,604,0,1,0,5,0,0,2025-05-26,166,2573,22,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,2,0,0,0,0,0,0,2025-05-26,160,931,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,1228,0,2,0,17,7,0,2025-05-27,464,4878,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,554,0,1,0,10,1,0,2025-05-27,166,2573,22,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,637,0,1,0,14,0,0,2025-05-27,160,1568,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,717,0,4,0,11,1,0,2025-05-28,464,4878,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,556,0,1,1,3,0,0,2025-05-28,166,2573,22,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,1,0,0,0,1,0,0,2025-05-28,160,1568,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,104,0,2,0,6,0,0,2025-05-29,464,4878,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,364,0,1,0,7,2,0,2025-05-29,120,2573,22,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,236,0,3,0,3,9,0,2025-05-29,160,2026,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,8,0,1,0,1,0,0,2025-05-30,464,4878,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,596,0,0,0,4,0,0,2025-05-30,120,2573,22,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,806,0,4,0,12,18,0,2025-05-30,160,2026,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-05-31,464,4878,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-31,120,2573,22,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,1,0,0,2025-05-31,160,2026,22,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-06-01,464,4878,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-06-01,120,2573,23,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-06-01,160,2026,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,1912,0,3,0,18,28,0,2025-06-02,464,8628,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,657,0,3,1,8,0,0,2025-06-02,120,2573,23,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,462,0,0,0,7,0,0,2025-06-02,160,2026,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,970,0,3,0,26,5,0,2025-06-03,464,8628,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,975,0,3,0,29,7,0,2025-06-03,120,4654,23,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,468,0,2,0,4,0,0,2025-06-03,160,2026,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,720,0,3,0,14,0,0,2025-06-04,464,3750,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,485,0,0,0,6,7,0,2025-06-04,120,2081,23,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,100,0,0,0,2,0,0,2025-06-04,160,0,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,480,0,5,0,13,1,0,2025-06-05,464,3750,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,592,0,2,0,23,1,0,2025-06-05,120,2072,23,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,403,0,0,0,3,0,0,2025-06-05,160,0,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,730,0,0,0,24,4,0,2025-06-06,464,4162,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,669,0,2,0,12,0,0,2025-06-06,120,2072,23,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,53,0,0,0,1,0,0,2025-06-06,160,0,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,2,0,0,2025-06-07,464,4162,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-06-07,120,2072,23,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-06-07,160,0,23,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,1,0,0,2025-06-08,464,4162,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-06-08,120,2072,24,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,1,0,0,2025-06-08,160,0,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,1545,0,4,0,19,0,0,2025-06-09,464,4162,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,819,0,3,0,18,0,0,2025-06-09,120,2072,24,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,472,0,0,0,7,4,0,2025-06-09,160,1003,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,1333,0,4,0,27,2,0,2025-06-10,464,4162,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,578,0,1,0,15,0,0,2025-06-10,120,2072,24,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,379,0,1,0,6,0,0,2025-06-10,160,1003,24,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-10,320,0,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,1334,0,4,0,19,1,0,2025-06-11,464,4162,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,365,0,1,0,12,2,0,2025-06-11,120,2279,24,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,152,0,0,0,3,0,0,2025-06-11,160,1003,24,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-11,320,0,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,797,0,3,0,15,0,0,2025-06-12,464,4162,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,488,0,1,0,12,1,0,2025-06-12,120,2640,24,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,377,0,1,0,4,0,0,2025-06-12,160,1003,24,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-12,320,0,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,397,0,4,0,13,1,0,2025-06-13,464,4162,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,621,0,0,0,8,1,0,2025-06-13,120,2640,24,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,372,0,0,0,4,0,0,2025-06-13,160,1003,24,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-13,320,0,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-06-14,464,4162,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,1,0,0,2025-06-14,120,2640,24,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-06-14,160,1003,24,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-14,320,0,24,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,1,0,1,0,0,2025-06-15,464,4162,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-06-15,120,2648,25,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,1,0,0,2025-06-15,160,1003,25,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-15,320,0,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,957,0,0,0,15,0,0,2025-06-16,464,4162,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,729,0,0,0,5,2,0,2025-06-16,120,2648,25,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,299,0,1,0,3,0,0,2025-06-16,160,1003,25,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-16,320,0,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,256,0,1,0,6,0,0,2025-06-17,464,4162,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,239,0,0,0,7,1,0,2025-06-17,120,2648,25,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,359,0,0,0,3,0,0,2025-06-17,160,1003,25,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-17,320,0,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,62,0,1,0,2,0,0,2025-06-18,464,4162,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,104,0,1,0,4,0,0,2025-06-18,0,2648,25,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,276,0,0,0,0,0,0,2025-06-18,160,1003,25,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-18,320,0,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,5,0,1,0,1,0,0,2025-06-19,464,4162,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-06-19,0,2648,25,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,23,0,0,0,0,0,0,2025-06-19,160,1003,25,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-19,320,0,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,14,0,0,0,0,0,0,2025-06-20,464,4162,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-06-20,0,2648,25,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,114,0,0,0,0,0,0,2025-06-20,160,1003,25,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-20,320,0,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-06-21,464,4162,25,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-06-21,160,1003,25,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-21,320,0,25,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-06-22,464,4162,26,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-06-22,160,1003,26,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-22,320,0,26,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,1078,0,2,0,17,2,0,2025-06-23,464,4162,26,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,102,0,1,0,1,0,0,2025-06-23,160,1003,26,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-23,320,0,26,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,490,0,4,0,7,1,0,2025-06-24,464,4162,26,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,1,0,0,0,0,0,0,2025-06-24,160,1003,26,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-24,320,0,26,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,511,0,3,0,8,0,0,2025-06-25,464,4162,26,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-06-25,160,1003,26,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-25,320,0,26,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,937,0,3,0,13,2,0,2025-06-26,464,6913,26,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,278,0,0,0,5,2,0,2025-06-26,160,1491,26,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-26,320,0,26,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,536,0,1,0,8,0,0,2025-06-27,464,6913,26,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,212,0,0,0,4,1,0,2025-06-27,160,1491,26,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-27,320,0,26,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-06-28,464,6913,26,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,1,0,0,2025-06-28,160,1491,26,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-28,320,0,26,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-06-29,464,6913,27,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-06-29,160,1491,27,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-29,320,0,27,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,1085,0,2,0,14,0,0,2025-06-30,464,6913,27,6,,,,,,Smartlead,,,,0,,,,,,,,
51212,194,0,2,0,2,0,0,2025-06-30,160,1491,27,6,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-06-30,320,0,27,6,,,,,,Smartlead,,,,0,,,,,,,,
50475,995,0,0,0,14,0,0,2025-07-01,464,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
51212,373,0,1,0,3,0,0,2025-07-01,160,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-07-01,320,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
50475,920,0,0,0,1,1,0,2025-07-02,464,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
51212,352,0,0,0,0,0,0,2025-07-02,160,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-07-02,320,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
50475,187,0,1,0,2,0,0,2025-07-03,464,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
51212,307,0,1,0,1,0,0,2025-07-03,160,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-07-03,320,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
50475,19,0,0,0,1,0,0,2025-07-04,464,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
51212,151,0,0,0,1,0,0,2025-07-04,160,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
64796,0,0,0,0,0,0,0,2025-07-04,320,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-07-05,464,0,27,7,,,,,,Smartlead,,,,0,,,,,,,,
